Functional Location Name L6,Functional Location Type L6,Functional Location Id L6,Functional Location Name L5,Functional Location Type L5,Functional Location Id L5,Functional Location Name L4,Functional Location Type L4,Functional Location Id L4,Functional Location Name L3,Functional Location Type L3,Functional Location Id L3,Functional Location Name L2,Functional Location Type L2,Functional Location Id L2,Functional Location Name L1,Functional Location Type L1,Functional Location Id L1,Asset Id,Asset Name,Asset Status
DoH Tasmania,Organisation,100095,North West,Region,100093,Mersey Community Hospital Precinct (MCHP),Site,102140,Residence (0992),Building,101890,01. Ground Floor,Floor,101353,BLDG Structure,Structure,100771,BLD102640,0992-01 Residence-GF,Active
DoH Tasmania,Organisation,100095,North,Region,100092,St Helens District Hospital (SHDH),Site,102190,District Hospital,Building,101793,01. Ground Floor,Floor,101215,BLDG Structure,Structure,100633,BLD100401,0968-01 District Hospital-GF,Active
DoH Tasmania,Organisation,100095,North West,Region,100093,Central Coast Community Health Centre (CCCHC),Site,102206,Community Health Centre,Building,101713,01. Ground Floor,Floor,101134,BLDG Structure,Structure,100552,BLD100330,0222-01 Community Health Centre-GF,Active
DoH Tasmania,Organisation,100095,North West,Region,100093,Mersey Community Hospital Precinct (MCHP),Site,102140,Residence (0207),Building,101909,01. Ground Floor,Floor,101408,BLDG Structure,Structure,100826,BLD102642,0207-01 Residence-GF,Active
DoH Tasmania,Organisation,100095,North West,Region,100093,Mersey Community Hospital Precinct (MCHP),Site,102140,Community Hospital,Building,101944,05. Roof,Floor,104801,BLDG Structure,Structure,104828,BLD162979,0122-05 Community Hospital-RF,Active
DoH Tasmania,Organisation,100095,North,Region,100092,George Town Hospital Precinct (GTHP),Site,102117,Ambulance Station,Building,101736,01. Ground Floor,Floor,101157,BLDG Structure,Structure,100575,BLD100334,0249-01 Ambulance Station -GF,Active
DoH Tasmania,Organisation,100095,North,Region,100092,The Corner Launceston (TCL),Site,102145,Headspace Inc,Building,101957,02. First Floor,Floor,101495,BLDG Structure,Structure,100913,BLD102294,2022-02 Headspace Inc -L1,Active
DoH Tasmania,Organisation,100095,North West,Region,100093,Mersey Community Hospital Precinct (MCHP),Site,102140,Store / Workshop,Building,101933,01. Ground Floor,Floor,101451,BLDG Structure,Structure,100869,BLD102468,0773-01 Store / Workshop-GF,Active
DoH Tasmania,Organisation,100095,North,Region,100092,Launceston General Hospital Precinct (LGHP),Site,102143,Launceston General Hospital,Building,101923,03. Third Floor,Floor,101459,BLDG Structure,Structure,100877,BLD102486,0100-03 Launceston General Hospital-L3,Active
DoH Tasmania,Organisation,100095,North,Region,100092,Launceston General Hospital Precinct (LGHP),Site,102143,Nelumie Flats Units 1 - 6,Building,102022,01. Ground Floor,Floor,101597,BLDG Structure,Structure,101015,BLD102495,0036-01 Nelumie Flats Units 1 - 6-GF,Active
DoH Tasmania,Organisation,100095,North,Region,100092,Rocherlea - MHS Residential Rehab (RMHS),Site,102178,Units 5 & 6,Building,102012,01. Ground Floor,Floor,101586,BLDG Structure,Structure,101004,BLD102329,0762-01 Units 5 & 6 -GF,Active
DoH Tasmania,Organisation,100095,North,Region,100092,Launceston General Hospital Precinct (LGHP),Site,102143,Chimney Villa,Building,102076,01. Ground Floor,Floor,101657,BLDG Structure,Structure,101075,BLD102298,0104-01 Chimney Villa -GF,Active
DoH Tasmania,Organisation,100095,North West,Region,100093,North West Alcohol and Drug Service (NWADS),Site,102205,Alcohol & Drugs Service,Building,101880,01. Ground Floor,Floor,101337,BLDG Structure,Structure,100755,BLD102550,0211-01 Alcohol & Drugs Service -GF,Active
