Functional Location Name L4,Functional Location Type L4,Functional Location Id L4,Functional Location Name L3,Functional Location Type L3,Functional Location Id L3,Functional Location Name L2,Functional Location Type L2,Functional Location Id L2,Functional Location Name L1,Functional Location Type L1,Functional Location Id L1,Asset Id,Asset Name,Asset Status
DoH Tasmania,Organisation,100095,North,Region,100092,George Town Hospital Precinct (GTHP),Site,102117,District Hospital,Building,101769,BLD163169,GTHP District Hospital (BUILDING),Active
DoH Tasmania,Organisation,100095,North,Region,100092,Invermay Day Care Centre (IDCC),Site,102136,Day Centre,Building,101967,BLD163155,IDCC Day Centre (BUILDING),Active
DoH Tasmania,Organisation,100095,North West,Region,100093,North West Regional Hospital Precinct (NWRHP),Site,102107,Family Accommodation Unit,Building,101953,BLD163292,NWRHP Family Accommodation Unit (BUILDING),Active
DoH Tasmania,Organisation,100095,North West,Region,100093,Mersey Community Hospital Precinct (MCHP),Site,102140,Gardener's Sheds,Building,101994,BLD163286,MCHP Gardener's Sheds (BUILDING),Active
DoH Tasmania,Organisation,100095,North,Region,100092,Launceston General Hospital Precinct (LGHP),Site,102143,Garage,Building,102036,BLD163321,LGHP Garage (BUILDING),Active
DoH Tasmania,Organisation,100095,South,Region,100094,Eureka Clubhouse (ECH),Site,102152,Day Centre,Building,102089,BLD163229,ECH Day Centre (BUILDING),Active
DoH Tasmania,Organisation,100095,North West,Region,100093,North West Regional Hospital Precinct (NWRHP),Site,102107,Patient Accommodation 3 studios (conjoined),Building,101971,BLD163302,NWRHP Patient Accommodation 3 studios  (conjoined) (0868) (BUILDING),Active
DoH Tasmania,Organisation,100095,North,Region,100092,Deloraine District Hospital (DDH),Site,102112,District Hospital,Building,101741,BLD163122,DDH District Hospital (BUILDING),Active
DoH Tasmania,Organisation,100095,South,Region,100094,Brighton Community Health Centre (BCHC),Site,102094,Consulting Rooms,Building,101728,BLD163243,BCHC Consulting rooms (BUILDING),Active
DoH Tasmania,Organisation,100095,South,Region,100094,Millbrook Rise (MBR),Site,102157,Day Centre,Building,101778,BLD163242,MBR Day Centre (BUILDING),Active
DoH Tasmania,Organisation,100095,South,Region,100094,St Johns Park (SJP),Site,102161,Gate House  - 2,Building,101704,BLD163101,SJP Gate House - 2 (BUILDING),Active
